date,channel,sku,units_sold,revenue,promo_flag,category
2025-02-02,Retail,BEER_IPA_4PK,43,527.394,1,Beer
2025-02-02,Retail,BEER_LAGER_6PK,18,197.82,0,Beer
2025-02-02,Retail,BEER_STOUT_6PK,32,383.68,0,Beer
2025-02-02,Retail,UNKNOWN_SKU_999,7,35.0,0,Legacy
2025-02-03,Ecommerce,ALE_PALE_6PK,13,136.37,0,Beer
2025-02-03,Ecommerce,BEER_STOUT_6PK,7,83.93,0,Beer
2025-02-03,Retail,ALE_PALE_6PK,16,167.84,0,Beer
2025-02-03,Retail,BEER_IPA_4PK,16,207.84000000000003,0,Beer
2025-02-03,Retail,BEER_LAGER_6PK,15,164.85000000000002,0,Beer
2025-02-03,Retail,BEER_STOUT_6PK,24,266.178,1,Beer
2025-02-04,Ecommerce,ALE_PALE_6PK,8,83.92,0,Beer
2025-02-04,Ecommerce,BEER_IPA_4PK,17,220.83,0,Beer
2025-02-04,Ecommerce,BEER_LAGER_6PK,10,109.9,0,Beer
2025-02-04,Ecommerce,BEER_STOUT_6PK,11,131.89000000000001,0,Beer
2025-02-04,Retail,ALE_PALE_6PK,20,209.8,0,Beer
2025-02-04,Retail,BEER_IPA_4PK,19,246.81,0,Beer
2025-02-04,Retail,BEER_LAGER_6PK,28,279.146,1,Beer
2025-02-04,Retail,BEER_STOUT_6PK,15,179.85000000000002,0,Beer
2025-02-04,Retail,UNKNOWN_SKU_999,5,25.0,0,Legacy
2025-02-05,Ecommerce,BEER_LAGER_6PK,15,164.85,0,Beer
2025-02-05,Retail,ALE_PALE_6PK,20,209.8,0,Beer
2025-02-05,Retail,BEER_IPA_4PK,24,293.574,1,Beer
2025-02-05,Retail,BEER_LAGER_6PK,13,142.87,0,Beer
2025-02-05,Retail,BEER_STOUT_6PK,29,347.71000000000004,0,Beer
2025-02-06,Ecommerce,BEER_LAGER_6PK,12,131.88,0,Beer
2025-02-06,Ecommerce,BEER_STOUT_6PK,18,215.82,0,Beer
2025-02-06,Retail,ALE_PALE_6PK,17,178.33,0,Beer
2025-02-06,Retail,BEER_IPA_4PK,23,272.78999999999996,1,Beer
2025-02-06,Retail,BEER_LAGER_6PK,31,340.69,0,Beer
2025-02-06,Retail,BEER_STOUT_6PK,28,306.944,1,Beer
2025-02-06,Retail,UNKNOWN_SKU_999,3,15.0,0,Legacy
2025-02-07,Ecommerce,ALE_PALE_6PK,12,125.88,0,Beer
2025-02-07,Ecommerce,BEER_IPA_4PK,10,129.9,0,Beer
2025-02-07,Retail,ALE_PALE_6PK,18,180.428,1,Beer
2025-02-07,Retail,BEER_IPA_4PK,21,262.398,1,Beer
2025-02-07,Retail,BEER_LAGER_6PK,22,219.8,1,Beer
2025-02-07,Retail,BEER_STOUT_6PK,18,213.422,1,Beer
2025-02-08,Ecommerce,ALE_PALE_6PK,4,41.96,0,Beer
2025-02-08,Retail,ALE_PALE_6PK,41,430.09000000000003,0,Beer
2025-02-08,Retail,BEER_IPA_4PK,20,259.8,0,Beer
2025-02-08,Retail,BEER_LAGER_6PK,31,340.69,0,Beer
2025-02-08,Retail,BEER_STOUT_6PK,17,203.83,0,Beer
2025-02-09,Ecommerce,BEER_STOUT_6PK,15,179.85,0,Beer
2025-02-09,Retail,ALE_PALE_6PK,31,325.19,0,Beer
2025-02-09,Retail,BEER_IPA_4PK,25,324.75,0,Beer
2025-02-09,Retail,BEER_LAGER_6PK,26,285.74,0,Beer
2025-02-09,Retail,BEER_STOUT_6PK,33,381.28200000000004,1,Beer
2025-02-10,Ecommerce,ALE_PALE_6PK,17,178.33,0,Beer
2025-02-10,Ecommerce,BEER_LAGER_6PK,18,197.82,0,Beer
2025-02-10,Ecommerce,BEER_STOUT_6PK,13,155.87,0,Beer
2025-02-10,Retail,ALE_PALE_6PK,18,188.82,0,Beer
2025-02-10,Retail,BEER_IPA_4PK,19,246.81,0,Beer
2025-02-10,Retail,BEER_LAGER_6PK,24,263.76,0,Beer
2025-02-10,Retail,BEER_STOUT_6PK,21,251.79,0,Beer
2025-02-11,Ecommerce,ALE_PALE_6PK,18,188.82,0,Beer
2025-02-11,Ecommerce,BEER_IPA_4PK,5,64.95,0,Beer
2025-02-11,Ecommerce,BEER_LAGER_6PK,1,10.99,0,Beer
2025-02-11,Ecommerce,BEER_STOUT_6PK,17,203.83,0,Beer
2025-02-11,Retail,ALE_PALE_6PK,13,136.37,0,Beer
2025-02-11,Retail,BEER_IPA_4PK,17,220.83,0,Beer
2025-02-11,Retail,BEER_LAGER_6PK,24,263.76,0,Beer
2025-02-11,Retail,BEER_STOUT_6PK,26,311.74,0,Beer
2025-02-12,Ecommerce,ALE_PALE_6PK,10,104.9,0,Beer
2025-02-12,Ecommerce,BEER_STOUT_6PK,9,107.91,0,Beer
2025-02-12,Retail,ALE_PALE_6PK,14,146.86,0,Beer
2025-02-12,Retail,BEER_IPA_4PK,18,233.82,0,Beer
2025-02-12,Retail,BEER_LAGER_6PK,14,153.86,0,Beer
2025-02-12,Retail,BEER_STOUT_6PK,26,311.74,0,Beer
2025-02-12,Retail,UNKNOWN_SKU_999,6,30.0,0,Legacy
2025-02-13,Ecommerce,BEER_IPA_4PK,1,12.99,0,Beer
2025-02-13,Ecommerce,BEER_LAGER_6PK,17,186.83,0,Beer
2025-02-13,Ecommerce,BEER_STOUT_6PK,4,47.96,0,Beer
2025-02-13,Retail,ALE_PALE_6PK,14,146.86,0,Beer
2025-02-13,Retail,BEER_IPA_4PK,19,246.81,0,Beer
2025-02-13,Retail,BEER_LAGER_6PK,28,292.334,1,Beer
2025-02-13,Retail,BEER_STOUT_6PK,21,251.79000000000002,0,Beer
2025-02-14,Ecommerce,ALE_PALE_6PK,15,157.35,0,Beer
2025-02-14,Ecommerce,BEER_IPA_4PK,15,194.85,0,Beer
2025-02-14,Ecommerce,BEER_LAGER_6PK,18,197.82,0,Beer
2025-02-14,Retail,ALE_PALE_6PK,14,146.86,0,Beer
2025-02-14,Retail,BEER_IPA_4PK,22,270.192,1,Beer
2025-02-14,Retail,BEER_LAGER_6PK,23,237.38400000000001,1,Beer
2025-02-14,Retail,BEER_STOUT_6PK,19,211.024,1,Beer
2025-02-15,Ecommerce,BEER_IPA_4PK,1,12.99,0,Beer
2025-02-15,Ecommerce,BEER_LAGER_6PK,1,10.99,0,Beer
2025-02-15,Ecommerce,BEER_STOUT_6PK,11,131.89000000000001,0,Beer
2025-02-15,Retail,ALE_PALE_6PK,22,230.78,0,Beer
2025-02-15,Retail,BEER_IPA_4PK,45,584.5500000000001,0,Beer
2025-02-15,Retail,BEER_LAGER_6PK,54,593.46,0,Beer
2025-02-15,Retail,BEER_STOUT_6PK,35,371.69,1,Beer
2025-02-16,Ecommerce,ALE_PALE_6PK,14,146.86,0,Beer
2025-02-16,Ecommerce,BEER_IPA_4PK,6,77.94,0,Beer
2025-02-16,Ecommerce,BEER_LAGER_6PK,11,120.89,0,Beer
2025-02-16,Ecommerce,BEER_STOUT_6PK,1,11.99,0,Beer
2025-02-16,Retail,ALE_PALE_6PK,34,335.68,1,Beer
2025-02-16,Retail,BEER_IPA_4PK,30,363.71999999999997,1,Beer
2025-02-16,Retail,BEER_LAGER_6PK,32,351.68,0,Beer
2025-02-16,Retail,BEER_STOUT_6PK,29,347.71000000000004,0,Beer
2025-02-16,Retail,UNKNOWN_SKU_999,13,65.0,0,Legacy
2025-02-17,Ecommerce,ALE_PALE_6PK,17,178.33,0,Beer
2025-02-17,Ecommerce,BEER_IPA_4PK,17,220.83,0,Beer
2025-02-17,Ecommerce,BEER_LAGER_6PK,6,65.94,0,Beer
2025-02-17,Ecommerce,BEER_STOUT_6PK,9,107.91,0,Beer
2025-02-17,Retail,ALE_PALE_6PK,28,293.72,0,Beer
2025-02-17,Retail,BEER_IPA_4PK,24,311.76,0,Beer
2025-02-17,Retail,BEER_LAGER_6PK,12,131.88,0,Beer
2025-02-17,Retail,BEER_STOUT_6PK,14,167.86,0,Beer
2025-02-18,Ecommerce,BEER_IPA_4PK,14,181.86,0,Beer
2025-02-18,Ecommerce,BEER_STOUT_6PK,19,227.81,0,Beer
2025-02-18,Retail,ALE_PALE_6PK,19,199.31,0,Beer
2025-02-18,Retail,BEER_IPA_4PK,33,379.308,1,Beer
2025-02-18,Retail,BEER_LAGER_6PK,15,164.85000000000002,0,Beer
2025-02-18,Retail,BEER_STOUT_6PK,16,191.84,0,Beer
2025-02-19,Ecommerce,ALE_PALE_6PK,2,20.98,0,Beer
2025-02-19,Ecommerce,BEER_LAGER_6PK,8,87.92,0,Beer
2025-02-19,Ecommerce,BEER_STOUT_6PK,12,143.88,0,Beer
2025-02-19,Retail,ALE_PALE_6PK,22,222.38800000000003,1,Beer
2025-02-19,Retail,BEER_IPA_4PK,11,142.89,0,Beer
2025-02-19,Retail,BEER_LAGER_6PK,23,243.978,1,Beer
2025-02-19,Retail,BEER_STOUT_6PK,14,167.86,0,Beer
2025-02-20,Ecommerce,ALE_PALE_6PK,5,52.45,0,Beer
2025-02-20,Ecommerce,BEER_IPA_4PK,3,38.97,0,Beer
2025-02-20,Ecommerce,BEER_STOUT_6PK,13,155.87,0,Beer
2025-02-20,Retail,ALE_PALE_6PK,28,293.72,0,Beer
2025-02-20,Retail,BEER_IPA_4PK,9,116.91,0,Beer
2025-02-20,Retail,BEER_LAGER_6PK,23,252.77,0,Beer
2025-02-20,Retail,BEER_STOUT_6PK,28,304.546,1,Beer
2025-02-21,Ecommerce,ALE_PALE_6PK,5,52.45,0,Beer
2025-02-21,Ecommerce,BEER_IPA_4PK,18,233.82,0,Beer
2025-02-21,Ecommerce,BEER_STOUT_6PK,1,11.99,0,Beer
2025-02-21,Retail,ALE_PALE_6PK,18,188.82,0,Beer
2025-02-21,Retail,BEER_IPA_4PK,27,350.73,0,Beer
2025-02-21,Retail,BEER_LAGER_6PK,19,208.81,0,Beer
2025-02-21,Retail,BEER_STOUT_6PK,14,167.86,0,Beer
2025-02-22,Ecommerce,BEER_STOUT_6PK,12,143.88,0,Beer
2025-02-22,Retail,ALE_PALE_6PK,17,178.33,0,Beer
2025-02-22,Retail,BEER_IPA_4PK,26,337.74,0,Beer
2025-02-22,Retail,BEER_LAGER_6PK,28,307.72,0,Beer
2025-02-22,Retail,BEER_STOUT_6PK,32,374.088,1,Beer
2025-02-23,Ecommerce,ALE_PALE_6PK,2,20.98,0,Beer
2025-02-23,Ecommerce,BEER_IPA_4PK,19,246.81,0,Beer
2025-02-23,Ecommerce,BEER_STOUT_6PK,6,71.94,0,Beer
2025-02-23,Retail,ALE_PALE_6PK,43,419.6,1,Beer
2025-02-23,Retail,BEER_IPA_4PK,32,415.68,0,Beer
2025-02-23,Retail,BEER_LAGER_6PK,17,186.83,0,Beer
2025-02-23,Retail,BEER_STOUT_6PK,35,390.874,1,Beer
2025-02-24,Ecommerce,BEER_IPA_4PK,13,168.87,0,Beer
2025-02-24,Ecommerce,BEER_LAGER_6PK,2,21.98,0,Beer
2025-02-24,Retail,ALE_PALE_6PK,11,115.39,0,Beer
2025-02-24,Retail,BEER_IPA_4PK,16,207.84,0,Beer
2025-02-24,Retail,BEER_LAGER_6PK,39,400.036,1,Beer
2025-02-24,Retail,BEER_STOUT_6PK,26,311.74,0,Beer
2025-02-25,Ecommerce,ALE_PALE_6PK,6,62.94,0,Beer
2025-02-25,Ecommerce,BEER_IPA_4PK,14,181.86,0,Beer
2025-02-25,Retail,ALE_PALE_6PK,12,125.88,0,Beer
2025-02-25,Retail,BEER_IPA_4PK,20,249.40800000000002,1,Beer
2025-02-25,Retail,BEER_LAGER_6PK,20,219.8,0,Beer
2025-02-25,Retail,BEER_STOUT_6PK,22,246.994,1,Beer
2025-02-26,Ecommerce,ALE_PALE_6PK,8,83.92,0,Beer
2025-02-26,Ecommerce,BEER_IPA_4PK,13,168.87,0,Beer
2025-02-26,Ecommerce,BEER_LAGER_6PK,12,131.88,0,Beer
2025-02-26,Retail,ALE_PALE_6PK,22,230.78,0,Beer
2025-02-26,Retail,BEER_IPA_4PK,26,327.348,1,Beer
2025-02-26,Retail,BEER_LAGER_6PK,20,219.8,0,Beer
2025-02-26,Retail,BEER_STOUT_6PK,24,287.76,0,Beer
2025-02-27,Ecommerce,ALE_PALE_6PK,4,41.96,0,Beer
2025-02-27,Ecommerce,BEER_IPA_4PK,14,181.86,0,Beer
2025-02-27,Ecommerce,BEER_STOUT_6PK,18,215.82,0,Beer
2025-02-27,Retail,ALE_PALE_6PK,24,251.76,0,Beer
2025-02-27,Retail,BEER_IPA_4PK,19,236.418,1,Beer
2025-02-27,Retail,BEER_LAGER_6PK,17,186.83,0,Beer
2025-02-27,Retail,BEER_STOUT_6PK,26,311.74,0,Beer
2025-02-28,Ecommerce,ALE_PALE_6PK,15,157.35,0,Beer
2025-02-28,Ecommerce,BEER_LAGER_6PK,6,65.94,0,Beer
2025-02-28,Ecommerce,BEER_STOUT_6PK,6,71.94,0,Beer
2025-02-28,Retail,ALE_PALE_6PK,25,262.25,0,Beer
2025-02-28,Retail,BEER_IPA_4PK,17,220.83,0,Beer
2025-02-28,Retail,BEER_LAGER_6PK,26,263.76,1,Beer
2025-02-28,Retail,BEER_STOUT_6PK,25,299.75,0,Beer
2025-02-28,Retail,UNKNOWN_SKU_999,8,40.0,0,Legacy
2025-03-01,Ecommerce,ALE_PALE_6PK,13,136.37,0,Beer
2025-03-01,Ecommerce,BEER_IPA_4PK,7,90.93,0,Beer
2025-03-01,Ecommerce,BEER_LAGER_6PK,13,142.87,0,Beer
2025-03-01,Retail,ALE_PALE_6PK,38,398.62,0,Beer
2025-03-01,Retail,BEER_IPA_4PK,25,324.75,0,Beer
2025-03-01,Retail,BEER_LAGER_6PK,24,263.76,0,Beer
2025-03-01,Retail,BEER_STOUT_6PK,34,407.66,0,Beer
2025-03-01,Retail,UNKNOWN_SKU_999,11,55.0,0,Legacy
2025-03-02,Ecommerce,ALE_PALE_6PK,3,31.47,0,Beer
2025-03-02,Ecommerce,BEER_IPA_4PK,6,77.94,0,Beer
2025-03-02,Ecommerce,BEER_LAGER_6PK,6,65.94,0,Beer
2025-03-02,Ecommerce,BEER_STOUT_6PK,14,167.86,0,Beer
2025-03-02,Retail,ALE_PALE_6PK,32,335.68,0,Beer
2025-03-02,Retail,BEER_IPA_4PK,34,441.66,0,Beer
2025-03-02,Retail,BEER_LAGER_6PK,27,268.156,1,Beer
2025-03-02,Retail,BEER_STOUT_6PK,35,395.67,1,Beer
2025-03-03,Ecommerce,ALE_PALE_6PK,3,30.421,0,Beer
2025-03-03,Ecommerce,BEER_LAGER_6PK,11,120.89,0,Beer
2025-03-03,Ecommerce,BEER_STOUT_6PK,13,155.87,0,Beer
2025-03-03,Retail,ALE_PALE_6PK,22,230.78,0,Beer
2025-03-03,Retail,BEER_IPA_4PK,15,194.85000000000002,0,Beer
2025-03-03,Retail,BEER_LAGER_6PK,13,142.87,0,Beer
2025-03-03,Retail,BEER_STOUT_6PK,24,263.78000000000003,1,Beer
2025-03-03,Retail,UNKNOWN_SKU_999,2,10.0,0,Legacy
2025-03-04,Ecommerce,ALE_PALE_6PK,11,115.39,0,Beer
2025-03-04,Ecommerce,BEER_IPA_4PK,5,64.95,0,Beer
2025-03-04,Ecommerce,BEER_LAGER_6PK,12,131.88,0,Beer
2025-03-04,Ecommerce,BEER_STOUT_6PK,13,155.87,0,Beer
2025-03-04,Retail,ALE_PALE_6PK,29,304.21000000000004,0,Beer
2025-03-04,Retail,BEER_IPA_4PK,26,335.142,1,Beer
2025-03-04,Retail,BEER_LAGER_6PK,18,178.038,1,Beer
2025-03-04,Retail,BEER_STOUT_6PK,20,239.8,0,Beer
2025-03-05,Ecommerce,BEER_IPA_4PK,10,129.9,0,Beer
2025-03-05,Ecommerce,BEER_LAGER_6PK,17,186.83,0,Beer
2025-03-05,Ecommerce,BEER_STOUT_6PK,12,143.88,0,Beer
2025-03-05,Retail,ALE_PALE_6PK,20,209.8,0,Beer
2025-03-05,Retail,BEER_IPA_4PK,27,350.73,0,Beer
2025-03-05,Retail,BEER_LAGER_6PK,24,241.78000000000003,1,Beer
2025-03-05,Retail,BEER_STOUT_6PK,15,179.85,0,Beer
2025-03-06,Ecommerce,ALE_PALE_6PK,15,157.35,0,Beer
2025-03-06,Ecommerce,BEER_IPA_4PK,5,64.95,0,Beer
2025-03-06,Ecommerce,BEER_LAGER_6PK,6,65.94,0,Beer
2025-03-06,Ecommerce,BEER_STOUT_6PK,1,11.99,0,Beer
2025-03-06,Retail,ALE_PALE_6PK,25,262.25,0,Beer
2025-03-06,Retail,BEER_IPA_4PK,18,233.82,0,Beer
2025-03-06,Retail,BEER_LAGER_6PK,17,186.82999999999998,0,Beer
2025-03-06,Retail,BEER_STOUT_6PK,18,208.626,1,Beer
2025-03-07,Ecommerce,ALE_PALE_6PK,8,83.92,0,Beer
2025-03-07,Ecommerce,BEER_IPA_4PK,16,207.84,0,Beer
2025-03-07,Ecommerce,BEER_STOUT_6PK,10,119.9,0,Beer
2025-03-07,Retail,ALE_PALE_6PK,14,146.86,0,Beer
2025-03-07,Retail,BEER_IPA_4PK,17,220.83,0,Beer
2025-03-07,Retail,BEER_LAGER_6PK,20,219.8,0,Beer
2025-03-07,Retail,BEER_STOUT_6PK,13,155.87,0,Beer
2025-03-08,Ecommerce,ALE_PALE_6PK,1,10.49,0,Beer
2025-03-08,Ecommerce,BEER_IPA_4PK,2,25.98,0,Beer
2025-03-08,Ecommerce,BEER_STOUT_6PK,7,83.93,0,Beer
2025-03-08,Retail,ALE_PALE_6PK,24,251.76,0,Beer
2025-03-08,Retail,BEER_IPA_4PK,27,350.73,0,Beer
2025-03-08,Retail,BEER_LAGER_6PK,36,395.64,0,Beer
2025-03-08,Retail,BEER_STOUT_6PK,24,287.76,0,Beer
2025-03-09,Ecommerce,ALE_PALE_6PK,12,125.88,0,Beer
2025-03-09,Ecommerce,BEER_LAGER_6PK,6,65.94,0,Beer
2025-03-09,Ecommerce,BEER_STOUT_6PK,13,155.87,0,Beer
2025-03-09,Retail,ALE_PALE_6PK,36,377.64,0,Beer
2025-03-09,Retail,BEER_IPA_4PK,32,415.68,0,Beer
2025-03-09,Retail,BEER_LAGER_6PK,32,351.68,0,Beer
2025-03-09,Retail,BEER_STOUT_6PK,40,479.6,0,Beer
2025-03-09,Retail,UNKNOWN_SKU_999,9,45.0,0,Legacy
2025-03-10,Ecommerce,ALE_PALE_6PK,15,156.301,0,Beer
2025-03-10,Ecommerce,BEER_IPA_4PK,17,220.83,0,Beer
2025-03-10,Ecommerce,BEER_LAGER_6PK,19,208.81,0,Beer
2025-03-10,Ecommerce,BEER_STOUT_6PK,5,59.95,0,Beer
2025-03-10,Retail,ALE_PALE_6PK,9,94.41,0,Beer
2025-03-10,Retail,BEER_IPA_4PK,17,220.82999999999998,0,Beer
2025-03-10,Retail,BEER_LAGER_6PK,13,142.87,0,Beer
2025-03-10,Retail,BEER_STOUT_6PK,33,371.69,1,Beer
2025-03-11,Ecommerce,ALE_PALE_6PK,5,52.45,0,Beer
2025-03-11,Ecommerce,BEER_IPA_4PK,14,181.86,0,Beer
2025-03-11,Ecommerce,BEER_STOUT_6PK,3,35.97,0,Beer
2025-03-11,Retail,ALE_PALE_6PK,14,146.86,0,Beer
2025-03-11,Retail,BEER_IPA_4PK,25,324.75,0,Beer
2025-03-11,Retail,BEER_LAGER_6PK,17,186.82999999999998,0,Beer
2025-03-11,Retail,BEER_STOUT_6PK,20,239.8,0,Beer
2025-03-12,Ecommerce,BEER_STOUT_6PK,14,167.86,0,Beer
2025-03-12,Retail,ALE_PALE_6PK,19,190.918,1,Beer
2025-03-12,Retail,BEER_IPA_4PK,14,174.066,1,Beer
2025-03-12,Retail,BEER_LAGER_6PK,19,208.81,0,Beer
2025-03-12,Retail,BEER_STOUT_6PK,19,213.422,1,Beer
2025-03-13,Ecommerce,ALE_PALE_6PK,15,157.35,0,Beer
2025-03-13,Ecommerce,BEER_LAGER_6PK,8,86.821,0,Beer
2025-03-13,Ecommerce,BEER_STOUT_6PK,11,131.89000000000001,0,Beer
2025-03-13,Retail,ALE_PALE_6PK,32,314.70000000000005,1,Beer
2025-03-13,Retail,BEER_IPA_4PK,14,181.86,0,Beer
2025-03-13,Retail,BEER_LAGER_6PK,18,197.82,0,Beer
2025-03-13,Retail,BEER_STOUT_6PK,19,227.81,0,Beer
2025-03-13,Retail,UNKNOWN_SKU_999,5,25.0,0,Legacy
2025-03-14,Ecommerce,ALE_PALE_6PK,5,52.45,0,Beer
2025-03-14,Ecommerce,BEER_IPA_4PK,13,168.87,0,Beer
2025-03-14,Retail,ALE_PALE_6PK,17,178.33,0,Beer
2025-03-14,Retail,BEER_IPA_4PK,23,298.77,0,Beer
2025-03-14,Retail,BEER_LAGER_6PK,15,164.85,0,Beer
2025-03-14,Retail,BEER_STOUT_6PK,17,203.83,0,Beer
2025-03-15,Ecommerce,BEER_IPA_4PK,3,38.97,0,Beer
2025-03-15,Ecommerce,BEER_LAGER_6PK,13,142.87,0,Beer
2025-03-15,Ecommerce,BEER_STOUT_6PK,13,155.87,0,Beer
